	accuracy	precision	recall	f1	average_precision	roc_auc	prediction_groups
Kopp21CNN_trial_1_target_predictions	0.9741404780046339	0.6633333333333333	0.11300397501419648	0.19311014070839402	0.34187182310298647	0.8857182556028655	Kopp21CNN
Kopp21CNN_trial_2_target_predictions	0.9746069756954703	0.672972972972973	0.141396933560477	0.2336931018301267	0.3539770607813451	0.8868942882417127	Kopp21CNN
Kopp21CNN_trial_3_target_predictions	0.9743115271579406	0.6408268733850129	0.1408290743895514	0.2309124767225326	0.36167156805740613	0.8935692345689074	Kopp21CNN
Kopp21CNN_trial_4_target_predictions	0.974902424233	0.6573875802997858	0.1743327654741624	0.27558348294434465	0.38777222985268833	0.9013455723925662	Kopp21CNN
Kopp21CNN_trial_5_target_predictions	0.9749335240790558	0.7086834733893558	0.14366837024417944	0.23890462700661	0.3768929807965393	0.8922956686584409	Kopp21CNN
dsCNN_trial_1_target_predictions	0.9747158251566654	0.6271186440677966	0.1890971039182283	0.2905759162303665	0.39516940949740803	0.9139855321380075	dsCNN
dsCNN_trial_2_target_predictions	0.9757732199225614	0.6746987951807228	0.2226007950028393	0.33475661827497866	0.4348366398500282	0.9163921290731513	dsCNN
dsCNN_trial_3_target_predictions	0.9755244211541153	0.673469387755102	0.2061328790459966	0.3156521739130435	0.41678986870529144	0.9188531804961638	dsCNN
dsCNN_trial_4_target_predictions	0.9754622214620038	0.6405529953917051	0.23679727427597955	0.34577114427860695	0.42604430707015145	0.9207953981291261	dsCNN
dsCNN_trial_5_target_predictions	0.9758354196146729	0.6892138939670932	0.21408290743895514	0.3266897746967071	0.45192005120249557	0.9227005743632049	dsCNN
dsFCN_trial_1_target_predictions	0.9723211370103718	0.08695652173913043	0.001135718341851221	0.002242152466367713	0.07409889334478797	0.6745043906223235	dsFCN
dsFCN_trial_2_target_predictions	0.9726010356248737	0.0	0.0	0.0	0.0793847270910332	0.6899881719913497	dsFCN
dsFCN_trial_3_target_predictions	0.9726165855479015	0.0	0.0	0.0	0.07999276013627796	0.6881955271639285	dsFCN
dsFCN_trial_4_target_predictions	0.9722744872412882	0.07692307692307693	0.001135718341851221	0.0022383883603805258	0.08028473327570218	0.692748341789122	dsFCN
dsFCN_trial_5_target_predictions	0.9726010356248737	0.0	0.0	0.0	0.07871667084931197	0.6816818244065559	dsFCN
dsHybrid_trial_1_target_predictions	0.9726165855479015	0.0	0.0	0.0	0.374501735065765	0.8937691809532982	dsHybrid
dsHybrid_trial_2_target_predictions	0.9726165855479015	0.0	0.0	0.0	0.3690043602555109	0.8934437068969305	dsHybrid
dsHybrid_trial_3_target_predictions	0.9739694288513272	0.7843137254901961	0.06814310051107325	0.12539184952978058	0.3888245278392708	0.9080367288711595	dsHybrid
dsHybrid_trial_4_target_predictions	0.9726165855479015	0.0	0.0	0.0	0.39735087265834157	0.9170526916078027	dsHybrid
dsHybrid_trial_5_target_predictions	0.9726165855479015	0.0	0.0	0.0	0.02738341445209846	0.5	dsHybrid
