RBP	Metric	Kipoi	MultiTask	SetA	SingleTask	Correlation	Observed intensities	DeepBind	MatrixREDUCE	Ray et al.
RNCMPT00001	AUCs	0.8877386147126951	0.8900231263649032	0.9214858880197018	0.9062160660175932	Pearson	0.921	0.879	0.904	0.396
RNCMPT00001	E-scores	0.8646483632648879	0.8843895174465131	0.8960197492406482	0.8957157143273023	Pearson	0.897	0.871	0.892	0.332
RNCMPT00001	Intensities	0.5516296872348818	0.5243087314600763		0.440123936661256	Pearson		0.469	0.472	0.259
RNCMPT00001	Z-scores	0.8194453842267484	0.8715343668278084	0.9128642100988236	0.8672023464354762	Pearson	0.913	0.859	0.879	0.309
RNCMPT00002	AUCs	0.7456911502178122	0.6645002692978204	0.833302344791899	0.8247195533603345	Pearson	0.83	0.751	0.773	0.342
RNCMPT00002	E-scores	0.7607537556220145	0.7077115973052974	0.809792217993986	0.8196583163538295	Pearson	0.81	0.761	0.795	0.365
RNCMPT00002	Intensities	0.6029284736735702	0.4272248173239861		0.6444658663575746	Pearson		0.596	0.654	0.458
RNCMPT00002	Z-scores	0.7412008768291317	0.6516859613966204	0.8317328576021721	0.7827850474120494	Pearson	0.832	0.667	0.733	0.329
RNCMPT00003	AUCs		0.7588602719961576	0.920471949705088	0.6945901895465929	Pearson	0.92	0.638	0.689	0.709
RNCMPT00003	E-scores		0.7592908243984446	0.9084512404374891	0.7339874252205103	Pearson	0.908	0.669	0.716	0.741
RNCMPT00003	Intensities		0.532537632227855		0.3119225032639878	Pearson		0.355	0.255	0.164
RNCMPT00003	Z-scores		0.7231051959649314	0.9277326218482576	0.6944760375582352	Pearson	0.928	0.617	0.609	0.385
RNCMPT00004	AUCs		0.9495203281411828	0.9560906631464248	0.9564568006574892	Pearson	0.955	0.953	0.953	0.746
RNCMPT00004	E-scores		0.9449780175718036	0.9413877497982278	0.9611339401772652	Pearson	0.942	0.957	0.959	0.729
RNCMPT00004	Intensities		0.6307878968903875		0.6176729985628973	Pearson		0.584	0.584	0.198
RNCMPT00004	Z-scores		0.9301581394663752	0.9452747220933096	0.9319295542674026	Pearson	0.945	0.92	0.927	0.292
RNCMPT00005	AUCs		0.9611288029506244	0.9548320527133034	0.9524838300556324	Pearson	0.952	0.94	0.938	0.855
RNCMPT00005	E-scores		0.9561039338878028	0.9360934284367176	0.948887155814383	Pearson	0.936	0.94	0.934	0.869
RNCMPT00005	Intensities		0.6396801485312101		0.5782436796445619	Pearson		0.278	0.252	0.118
RNCMPT00005	Z-scores		0.9374133122506074	0.9425801836780672	0.9309002495013136	Pearson	0.943	0.907	0.917	0.226
RNCMPT00006	AUCs		0.8662017341218402	0.9129888905438668	0.879771536477382	Pearson	0.913	0.827	0.868	0.539
RNCMPT00006	E-scores		0.8743607933398201	0.9148594517846508	0.8979081094546725	Pearson	0.915	0.86	0.887	0.595
RNCMPT00006	Intensities		0.4493171420689852		0.4515388154349232	Pearson		0.456	0.39	0.255
RNCMPT00006	Z-scores		0.7459553865300445	0.907811729203262	0.7673109992669739	Pearson	0.908	0.638	0.754	0.326
RNCMPT00007	AUCs		0.8599316852688427	0.9195894760152264	0.8847113557483565	Pearson	0.92	0.878	0.888	0.529
RNCMPT00007	E-scores		0.8450154836885486	0.915814201935444	0.9128466828158596	Pearson	0.916	0.902	0.913	0.585
RNCMPT00007	Intensities		0.4228929399299441		0.5132405387576334	Pearson		0.482	0.45	0.251
RNCMPT00007	Z-scores		0.8166749209045087	0.9194033299729648	0.7845694032645877	Pearson	0.919	0.811	0.802	0.267
RNCMPT00008	AUCs	0.3962790314502417		0.8325747170379866	0.8495430290058062	Pearson	0.874	0.608	0.609	-0.004
RNCMPT00008	E-scores	0.3826000601553942		0.8053792664292698	0.8393211435177669	Pearson	0.806	0.859	0.855	0.41
RNCMPT00008	Intensities	0.4445164784586999			0.6447195565218369	Pearson		0.616	0.611	0.299
RNCMPT00008	Z-scores	0.465063012194627		0.8244783055999845	0.8356968443309442	Pearson	0.824	0.854	0.855	0.287
RNCMPT00009	AUCs			0.7872407248817318	0.8405001784517023	Pearson	0.771	0.443	0.402	-0.088
RNCMPT00009	E-scores			0.8053035531543509	0.8616487865755943	Pearson	0.806	0.838	0.841	0.615
RNCMPT00009	Intensities				0.3969908212359216	Pearson		0.356	0.385	0.11
RNCMPT00009	Z-scores			0.7339726426997614	0.8032500982850508	Pearson	0.734	0.792	0.813	0.251
RNCMPT00010	AUCs		0.7980510589011028	0.7790949911151805	0.7756606374920878	Pearson	0.779	0.757	0.745	0.468
RNCMPT00010	E-scores		0.7746269562753849	0.7614231710368764	0.7843784934190345	Pearson	0.762	0.761	0.738	0.521
RNCMPT00010	Intensities		0.5327504547307575		0.5262156738568238	Pearson		0.326	0.289	0.112
RNCMPT00010	Z-scores		0.6874863851686652	0.7052471594458439	0.6834339294903563	Pearson	0.705	0.637	0.629	0.082
RNCMPT00011	AUCs		0.662163136901484	0.6612799785648373	0.4351306393806256	Pearson	0.66	0.549	0.552	0.461
RNCMPT00011	E-scores		0.6392179111446827	0.6809901846795664	0.4640128815326104	Pearson	0.683	0.572	0.578	0.526
RNCMPT00011	Intensities		0.4346120281367175		0.2113319348786435	Pearson		0.246	0.113	0.113
RNCMPT00011	Z-scores		0.6077974321613034	0.5751530071332863	0.4366800402360156	Pearson	0.575	0.484	0.458	0.234
RNCMPT00012	AUCs	0.7760476930832549	0.8228221793364734	0.7624146547822079	0.7926488394207892	Pearson	0.754	0.794	0.786	0.483
RNCMPT00012	E-scores	0.8736927175833678	0.8648138079816131	0.85167577158874	0.8672587647009768	Pearson	0.852	0.87	0.849	0.719
RNCMPT00012	Intensities	0.3443472003475535	0.3765694954268912		0.3362460682119379	Pearson		0.292	0.198	0.136
RNCMPT00012	Z-scores	0.7645058184483838	0.8362739692104064	0.7901954516959061	0.7178379389110544	Pearson	0.79	0.777	0.791	0.246
RNCMPT00013	AUCs	0.921677877336731	0.9271308835748706	0.910187606287441	0.9140124451526552	Pearson	0.91	0.921	0.89	0.732
RNCMPT00013	E-scores	0.9166792477218204	0.8935702085930783	0.881036398899748	0.9061642731099814	Pearson	0.882	0.913	0.883	0.751
RNCMPT00013	Intensities	0.3455233793877622	0.3328918641841831		0.3194431510699089	Pearson		0.206	0.167	0.088
RNCMPT00013	Z-scores	0.8963375457948491	0.917142268562184	0.904249242482304	0.8996026279833667	Pearson	0.904	0.9	0.879	0.36
RNCMPT00014	AUCs		0.92487444045518	0.9494876066598278	0.949782551306852	Pearson	0.947	0.909	0.913	0.837
RNCMPT00014	E-scores		0.9103897536486054	0.9197578631383924	0.937901644286309	Pearson	0.92	0.918	0.919	0.832
RNCMPT00014	Intensities		0.5219983001361798		0.6026272545315338	Pearson		0.552	0.538	0.29
RNCMPT00014	Z-scores		0.8039392642518963	0.9363554925268252	0.933088871645488	Pearson	0.936	0.89	0.921	0.44
RNCMPT00015	AUCs			0.7987899216688991	0.8456171979783281	Pearson	0.703	-0.018	0.115	-0.162
RNCMPT00015	E-scores			0.8345847503929303	0.8880368101945645	Pearson	0.836	0.859	0.864	0.639
RNCMPT00015	Intensities				0.4613373033269488	Pearson		0.442	0.42	0.132
RNCMPT00015	Z-scores			0.7592403109793175	0.8028111206977038	Pearson	0.759	0.727	0.784	0.245
RNCMPT00016	AUCs	0.9645277041252216	0.959464519425886	0.9521788992481612	0.9628416639705784	Pearson	0.953	0.965	0.891	0.792
RNCMPT00016	E-scores	0.971917746542152	0.962676687608086	0.9476447574860424	0.9702710942421262	Pearson	0.948	0.971	0.892	0.801
RNCMPT00016	Intensities	0.696413477326279	0.6694278875384501		0.6937929918215175	Pearson		0.599	0.053	0.154
RNCMPT00016	Z-scores	0.9587694321251184	0.9514909527179002	0.9381694607872824	0.9571965927575784	Pearson	0.938	0.957	0.776	0.23
RNCMPT00017	AUCs	0.7458780787795412	0.8090362252869802	0.8656331410733713	0.6871540484328462	Pearson	0.865	0.823	0.806	0.606
RNCMPT00017	E-scores	0.782720524610953	0.7875507628163324	0.8250161834042253	0.6946533102153616	Pearson	0.826	0.814	0.821	0.621
RNCMPT00017	Intensities	0.6197993276343683	0.5904051594597886		0.4393360504699112	Pearson		0.56	0.558	0.428
RNCMPT00017	Z-scores	0.9013073766393316	0.9142330021744348	0.9380964979302028	0.767731669922162	Pearson	0.938	0.918	0.922	0.655
RNCMPT00018	AUCs		0.8305820553138324	0.8430250658262964	0.8888119229191817	Pearson	0.832	0.86	0.857	0.234
RNCMPT00018	E-scores		0.8045094691401754	0.829775622748896	0.8776834588425879	Pearson	0.83	0.854	0.852	0.299
RNCMPT00018	Intensities		0.4744506376381356		0.5096798220518163	Pearson		0.395	0.432	0.082
RNCMPT00018	Z-scores		0.7819979104242686	0.7853844870098908	0.849995374106134	Pearson	0.785	0.834	0.831	0.152
RNCMPT00019	AUCs		0.8395164931339956	0.8736896953271196	0.8512670738080668	Pearson	0.874	0.835	0.825	0.62
RNCMPT00019	E-scores		0.8513709374146066	0.8692478872633663	0.8673044189797963	Pearson	0.863	0.853	0.836	0.619
RNCMPT00019	Intensities		0.5112772486107945		0.412059931671464	Pearson		0.404	0.347	0.201
RNCMPT00019	Z-scores		0.727497354770572	0.8556047896663856	0.7310516868340078	Pearson	0.856	0.661	0.721	0.222
RNCMPT00020	AUCs	0.8557310406218935	0.9424292936530876	0.9274806621468188	0.946396057958707	Pearson	0.928	0.946	0.942	0.809
RNCMPT00020	E-scores	0.8791075329935052	0.914459296545802	0.9010906502380336	0.9275003160306048	Pearson	0.902	0.93	0.928	0.802
RNCMPT00020	Intensities	0.3332343671702427	0.4161435749956727		0.4240460027055852	Pearson		0.13	0.127	0.054
RNCMPT00020	Z-scores	0.8611974135627242	0.93839745346775	0.9201374509584132	0.9438908158820536	Pearson	0.92	0.945	0.94	0.339
RNCMPT00021	AUCs		0.8810915240066491	0.8862535000010058	0.894112642089514	Pearson	0.889	0.884	0.859	0.514
RNCMPT00021	E-scores		0.8766855829376787	0.8801294604225	0.894936177804569	Pearson	0.881	0.894	0.862	0.583
RNCMPT00021	Intensities		0.492960864186124		0.5319375399404265	Pearson		0.362	0.307	0.171
RNCMPT00021	Z-scores		0.8624564530480311	0.8544328158131731	0.8712270207005308	Pearson	0.854	0.824	0.833	0.261
RNCMPT00022	AUCs	0.9719423902778868	0.9672488624269172	0.9641983480830566	0.9754873207947108	Pearson	0.964	0.973	0.971	0.818
RNCMPT00022	E-scores	0.9755772998331088	0.9701697091181724	0.9530546833529676	0.9763360165344804	Pearson	0.953	0.973	0.973	0.823
RNCMPT00022	Intensities	0.7216736128762069	0.6946318749752136		0.707148109616624	Pearson		0.694	0.686	0.285
RNCMPT00022	Z-scores	0.9615497209309896	0.9550725105494572	0.9631814325363236	0.9606880339299544	Pearson	0.963	0.948	0.955	0.325
RNCMPT00023	AUCs	0.8237072073742632	0.960979203520151	0.9556525137884628	0.965576679751768	Pearson	0.955	0.961	0.948	0.683
RNCMPT00023	E-scores	0.870499840546387	0.957391349327391	0.9424182361504416	0.9655525371448102	Pearson	0.943	0.961	0.953	0.708
RNCMPT00023	Intensities	0.5647610086937048	0.6786427329476532		0.6713043123690455	Pearson		0.647	0.612	0.19
RNCMPT00023	Z-scores	0.7594070048324363	0.9324689974745336	0.93613962670191	0.9298456050550796	Pearson	0.936	0.916	0.915	0.208
RNCMPT00024	AUCs	0.9595047293404768	0.9651666786744746	0.9557598962434246	0.970800942730118	Pearson	0.956	0.97	0.969	0.874
RNCMPT00024	E-scores	0.9577643634418064	0.9620001275454804	0.9423989448144444	0.967132267448888	Pearson	0.943	0.968	0.969	0.876
RNCMPT00024	Intensities	0.6308219369130903	0.6416665240529978		0.6167873891947171	Pearson		0.645	0.646	0.237
RNCMPT00024	Z-scores	0.9347901128390728	0.9574336320504888	0.9493511739494536	0.9636107676009182	Pearson	0.949	0.958	0.959	0.293
RNCMPT00025	AUCs	0.9198498998336356	0.9382531089302614	0.9375627706163348	0.928843553119859	Pearson	0.934	0.916	0.918	0.677
RNCMPT00025	E-scores	0.9275356304074313	0.941595852748367	0.931979874833186	0.9366803982829622	Pearson	0.932	0.933	0.928	0.76
RNCMPT00025	Intensities	0.5338280257505811	0.5674273273888158		0.5276842045882362	Pearson		0.455	0.423	0.252
RNCMPT00025	Z-scores	0.8302330111567252	0.9215690090899892	0.9320795441911408	0.8561623671823919	Pearson	0.932	0.853	0.863	0.307
RNCMPT00026	AUCs	0.9558864703876216	0.9418199020267074	0.9313929461051256	0.952174805509472	Pearson	0.928	0.95	0.937	0.759
