	r2	mse	pearson	spearman	kendall	prediction_groups	model
Jores21CNN_trial_1_enrichment_predictions	0.6886775566714491	0.8419035456239546	0.8299299811950189	0.8232894722077594	0.632540013469139	Jores21CNN	leaf
Jores21CNN_trial_2_enrichment_predictions	0.6787101994694971	0.8688580860004987	0.824913283132495	0.8174396230086	0.62651978106417	Jores21CNN	leaf
Jores21CNN_trial_3_enrichment_predictions	0.6932002986996157	0.8296727777141781	0.8370166796243873	0.831333008338233	0.6413515442720019	Jores21CNN	leaf
Jores21CNN_trial_4_enrichment_predictions	0.6865170358721815	0.8477462022016499	0.8292091405492488	0.8219542766068234	0.630873644456755	Jores21CNN	leaf
Jores21CNN_trial_5_enrichment_predictions	0.6826526156751549	0.8581966825167613	0.8271571086616027	0.8210342671283528	0.6302002337689941	Jores21CNN	leaf
ssCNN_trial_1_enrichment_predictions	0.7035298979596056	0.8017386328164322	0.839474981363442	0.8344660786685502	0.6463344707898874	ssCNN	leaf
ssCNN_trial_2_enrichment_predictions	0.6932353649450351	0.8295779487129835	0.8327258957353789	0.8273203044482733	0.6390174707340461	ssCNN	leaf
ssCNN_trial_3_enrichment_predictions	0.7002979151511137	0.8104788243579505	0.8403155607931414	0.8358399891596571	0.6470705198821264	ssCNN	leaf
ssCNN_trial_4_enrichment_predictions	0.6965244702631155	0.8206832818215893	0.8355098825123474	0.8291232604515447	0.6407137778287272	ssCNN	leaf
ssCNN_trial_5_enrichment_predictions	0.6975430459007106	0.8179287664978341	0.8373525703622839	0.832752291316724	0.6444282330012925	ssCNN	leaf
ssHybrid_trial_1_enrichment_predictions	0.699225622169752	0.8133786065044094	0.8404424832225307	0.8345582625626886	0.6476201136773262	ssHybrid	leaf
ssHybrid_trial_2_enrichment_predictions	0.7017885909727439	0.8064476172076139	0.8397486290715583	0.8340485583877074	0.6468934446636289	ssHybrid	leaf
ssHybrid_trial_3_enrichment_predictions	0.7005157606545926	0.809889708777923	0.8409592375221449	0.8345298500617508	0.6470741155747134	ssHybrid	leaf
ssHybrid_trial_4_enrichment_predictions	0.6996369018249327	0.8122663905130484	0.8415530276285357	0.8352847365808576	0.6481738239185423	ssHybrid	leaf
ssHybrid_trial_5_enrichment_predictions	0.7070711549005599	0.7921620769386136	0.8443163856566713	0.8386074779937895	0.6522228346903766	ssHybrid	leaf
Jores21CNN_trial_1_enrichment_predictions	0.6650677055934384	0.5138388243769925	0.8161416170667675	0.7933669114812549	0.603624098697579	Jores21CNN	proto
Jores21CNN_trial_2_enrichment_predictions	0.6737602487425663	0.5005030958515957	0.8210135717969383	0.7967923472148858	0.6079021365810404	Jores21CNN	proto
Jores21CNN_trial_3_enrichment_predictions	0.6642027277508481	0.5151658364483015	0.8155788241589454	0.7918826036366725	0.6029186442785966	Jores21CNN	proto
Jores21CNN_trial_4_enrichment_predictions	0.6517882725923007	0.5342115634518781	0.807460985082732	0.7843854190230793	0.5946652264463415	Jores21CNN	proto
Jores21CNN_trial_5_enrichment_predictions	0.6694764260857188	0.5070751536513196	0.8189207276896896	0.796853396490456	0.6072826100164015	Jores21CNN	proto
ssCNN_trial_1_enrichment_predictions	0.6322243355951338	0.5642257202074138	0.7953533455690069	0.7652736820140339	0.5789151870020236	ssCNN	proto
ssCNN_trial_2_enrichment_predictions	0.6251251133378526	0.5751170438557818	0.7915427909080742	0.761028470928487	0.5741735959875447	ssCNN	proto
ssCNN_trial_3_enrichment_predictions	0.6304959157051392	0.5668773881986364	0.7950820590826504	0.7653110706240843	0.5786395798635622	ssCNN	proto
ssCNN_trial_4_enrichment_predictions	0.6254813889384347	0.5745704610424355	0.7920502648524478	0.7618420983880936	0.5747164186121393	ssCNN	proto
ssCNN_trial_5_enrichment_predictions	0.6260952603348096	0.5736286857585955	0.7913393414588561	0.7585800649060467	0.5716252107595601	ssCNN	proto
ssHybrid_trial_1_enrichment_predictions	0.6273734586063162	0.5716677285498695	0.7921132118793468	0.7582380253453828	0.5726251609882702	ssHybrid	proto
ssHybrid_trial_2_enrichment_predictions	0.6302489926551534	0.5672562069982421	0.7943066765463546	0.7636615982142466	0.576822076896855	ssHybrid	proto
ssHybrid_trial_3_enrichment_predictions	0.6265775217457807	0.572888820894579	0.7920714051868881	0.7569008445104326	0.569731494041984	ssHybrid	proto
ssHybrid_trial_4_enrichment_predictions	0.6296478143521725	0.5681785090801957	0.7940276393962149	0.7606254340364386	0.5731745027551558	ssHybrid	proto
ssHybrid_trial_5_enrichment_predictions	0.6325546194493266	0.5637190128215231	0.7953937156605438	0.7623576271737487	0.5760065399494141	ssHybrid	proto
Jores21CNN_trial_1_enrichment_predictions	0.4384251863640385	1.3218539617758887	0.6632176424338501	0.6540075080903214	0.46259405921581537	Jores21CNN	combined
